caption,engagement,topic,n_hashtags,n_emoji,char_len
can we stop endless emails that should be calls thats all #fyp #foryou #foryou #shorts #daily 🔥,41.9836,rant,5,1,95
day 90 of rebuilt myself stronger keep going best #foryou 😭❤️❤️,83.7408,transformation,1,3,63
the simple method for wiring the shelf bracket safely thank me later #daily #trending #viral #shorts ✨,40.3345,howto,4,1,102
the glow up is the before and after nobody believed and it changed me #shorts #daily #shorts #reels #trending 🙌😂,68.5207,transformation,5,2,112
step by step folding a fitted sheet properly thank me later worst #trending #fyp #explore #shorts 👀,47.5212,howto,4,1,99
day 90 of reinventing everything from scratch and it changed me #reels #fyp #reels ❤️🔥✨,74.5537,transformation,3,3,87
the simple method for wiring the shelf bracket safely works every time #fyp #reels,58.9671,howto,2,0,82
a tiny reminder kindness shared between strangers be gentle today boring #trending #explore #trending 🙌❤️👀🙌,65.6526,wholesome,3,4,107
link in bio for exclusive bundle while supplies last selling fast beautiful #trending #daily #daily #viral,33.8852,promo,4,0,106
watch this become the before and after nobody believed no going back #shorts #shorts #trending,70.0417,transformation,3,0,94
nobody asked but the constant noise from the neighbors anyway whatever amazing #viral #explore #fyp #viral ❤️😭😭👀,21.6768,rant,4,4,112
watch this become reinventing everything from scratch keep going awful 😭🙌❤️💯,79.4876,transformation,0,4,76
here is exactly how cleaning grout without scrubbing forever save this for later love #daily #fyp #trending #daily,55.6772,howto,4,0,114
use my code twenty percent off everything storewide act quickly #fyp #explore #foryou #reels 💯,35.6412,promo,4,1,94
found so much gentle love on an ordinary day stay soft annoying #foryou #fyp 🙌💯👀💯,66.992,wholesome,2,4,81
im so tired of traffic on a road with no reason thats all boring #shorts #daily #explore 🔥👀,13.6431,rant,3,2,91
the glow up is reinventing everything from scratch keep going best #daily #shorts 🙌,84.5864,transformation,2,1,83
watch this become rebuilt myself stronger no going back beautiful #explore #daily #explore #daily #daily,67.9857,transformation,5,0,104
the simple method for cleaning grout without scrubbing forever try it tonight #reels #daily 🔥🔥,65.8414,howto,2,2,94
from broken to small habits compounding daily no going back awful #reels #foryou #reels #viral 👀😭😭,65.0657,transformation,4,3,98
use my code biggest sale of the entire season shop now happy #daily 💯,44.1997,promo,1,1,69
nobody asked but another pointless software update again end of rant #foryou #viral #daily 💯,28.2056,rant,3,1,92
here is exactly how setting up the spreadsheet correctly save this for later amazing #fyp #shorts #reels #shorts 😭👀,71.1247,howto,4,2,115
nobody asked but endless emails that should be calls thats all #shorts #daily #foryou #fyp #viral 🔥❤️,28.667,rant,5,2,101
from broken to finally healed and thriving no going back #fyp 😂,82.9415,transformation,1,1,63
step by step cleaning grout without scrubbing forever save this for later love #shorts #explore #reels 💯❤️👀✨,46.1583,howto,3,4,108
dont miss the subscribe for the discount today selling fast 😭😭,25.853,promo,0,2,62
can we stop another pointless software update again thats all best #viral 💯😂😂,10.4917,rant,1,3,77
a quick guide to folding a fitted sheet properly save this for later #trending #viral #explore #explore ❤️👀😂🙌,36.5351,howto,4,4,109
the simple method for fixing a leaking faucet yourself works every time #foryou #foryou #fyp #reels 😂💯❤️😭,45.2294,howto,4,4,105
a tiny reminder grandma laughing at the table this is everything amazing #daily #daily #trending ✨😂😭,67.5755,wholesome,3,3,100
the simple method for fixing a leaking faucet yourself works every time best #reels 💯🙌❤️,34.2759,howto,1,3,88
link in bio for the new collection just launched shop now beautiful #trending 🙌🔥😂💯,30.067,promo,1,4,82
im so tired of people who chew loudly in meetings end of rant #explore #viral #shorts #viral #reels,34.0254,rant,5,0,99
from broken to finally healed and thriving no going back #explore 💯✨,60.5055,transformation,1,2,68
day 90 of reinventing everything from scratch keep going #reels #reels,68.6639,transformation,2,0,70
a quick guide to wiring the shelf bracket safely works every time awful 🙌,49.4906,howto,0,1,73
unpopular opinion but slow walkers blocking the whole aisle anyway whatever #reels 😭🙌✨,43.8907,rant,1,3,86
day 90 of the before and after nobody believed you can too #reels #daily 💯💯🔥💯,74.4607,transformation,2,4,77
found so much a dog reunited with its family hold your people close #foryou #reels #viral ❤️✨❤️,61.8806,wholesome,3,3,95
step by step organizing a tiny kitchen efficiently thank me later 😭,41.9348,howto,0,1,67
a quick guide to organizing a tiny kitchen efficiently save this for later #trending #shorts #viral #fyp 💯,37.0451,howto,4,1,106
the glow up is the before and after nobody believed you can too #foryou #fyp ❤️🔥👀😭,70.1793,transformation,2,4,82
the simple method for wiring the shelf bracket safely try it tonight #trending #daily #shorts #viral #shorts,51.0906,howto,5,0,108
use my code exclusive bundle while supplies last shop now love #trending #reels ✨,53.9624,promo,2,1,81
a quick guide to wiring the shelf bracket safely try it tonight #viral #fyp #trending #reels #viral 🙌🔥❤️,53.5618,howto,5,3,104
day 90 of rebuilt myself stronger and it changed me #trending 😭✨✨,71.2734,transformation,1,3,65
use my code subscribe for the discount today dont wait #reels ❤️🙌😭,42.5109,promo,1,3,66
a tiny reminder comfort and warmth and home be gentle today amazing #explore #daily,52.5565,wholesome,2,0,83
a tiny reminder gentle love on an ordinary day stay soft awful #trending #explore #daily 💯🔥,69.6785,wholesome,3,2,91
found so much comfort and warmth and home hold your people close annoying #daily #fyp 💯💯💯😭,52.7382,wholesome,2,4,90
